currency_from,currency_to,exchange_rate
eos,link,1.0004229105523972
link,eos,1.0004229105523972
eth,link,1.0003959999
link,eth,1.0003959999
dot,link,1.0003878183613941
link,dot,1.0003878183613941
dot,link,1.0003868420446131
link,dot,1.0003868420446131
ltc,link,1.0003668371383836
link,ltc,1.0003668371383836
