currency_from,currency_to,exchange_rate
btc,eth,1.0063622567246324
eth,btc,1.0063622567246324
btc,eth,1.0063615694636718
eth,btc,1.0063615694636718
btc,eth,1.0063613510810108
eth,btc,1.0063613510810108
btc,eth,1.006361203712413
eth,btc,1.006361203712413
btc,eth,1.0063610917898769
eth,btc,1.0063610917898769
