currency_from,currency_to,exchange_rate
eth,xlm,1.0037334390303136
xlm,eth,1.0037334390303136
eth,xlm,1.0037334068249728
xlm,eth,1.0037334068249728
eth,xlm,1.0037308318082532
xlm,eth,1.0037308318082532
eth,xlm,1.0037292330349301
xlm,eth,1.0037292330349301
eth,xlm,1.0037241349800938
xlm,eth,1.0037241349800938
