currency_from,currency_to,exchange_rate
eth,dot,1.0000035519000001
dot,eth,1.0000035519000001
dot,xlm,0.999956651733416
xlm,dot,0.999956651733416
eth,xlm,0.9999530999999999
xlm,eth,0.9999530999999999
xrp,eth,0.9999332443857755
eth,xrp,0.9999332443857755
xrp,dot,0.9999296927354999
dot,xrp,0.9999296927354999
